Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_f1
NaiveBayes,0.5261194029850746,0.48390342052313884,0.7976782752902156,0.6023794614902943,0.7172628490293895,0.2538543810003117
XGBoost,0.6037313432835821,0.8050847457627118,0.15754560530679934,0.2635228848821082,0.710738483070851,0.46288995078056583
LightGBM,0.6,0.8073394495412844,0.14593698175787728,0.24719101123595505,0.7127737612255323,0.4481543334230847
CatBoost,0.5962686567164179,0.81,0.13432835820895522,0.23044096728307253,0.7580336670334442,0.4776586747055342
GradientBoosting,0.5873134328358209,0.7717391304347826,0.11774461028192372,0.20431654676258992,0.7117870619764137,0.4072914260483628
DecisionTree,0.5873134328358209,0.7777777777777778,0.11608623548922056,0.20202020202020202,0.5444745967134027,0.33361027436086094
ExtraTrees,0.5843283582089552,0.7804878048780488,0.10613598673300166,0.18686131386861313,0.8064224332881049,0.43769850448990233
RandomForest,0.5828358208955224,0.8055555555555556,0.09618573797678276,0.17185185185185184,0.787112605223543,0.3734565266154169
KNN,0.5805970149253732,0.7808219178082192,0.0945273631840796,0.16863905325443787,0.6174633391162686,0.4123851975103843
AdaBoost,0.5783582089552238,0.7638888888888888,0.0912106135986733,0.16296296296296298,0.7468041970158255,0.4567237447237448
LogisticRegression,0.573134328358209,0.7627118644067796,0.07462686567164178,0.13595166163141995,0.6794352525027508,0.4702863513509767
SVM,0.564179104477612,0.7567567567567568,0.04643449419568822,0.0875,0.6098420156116748,0.337397504456328
